firstName,total,female,male,prFemale
Raendie,7,7,0,1.0
Tea,2,2,0,1.0
Soma,3,3,0,1.0
Billy,50,0,50,0.0
Küllike,10,10,0,1.0
KG,1,0,1,0.0
Farah,8,8,0,1.0
Bernt-Olov,1,0,1,0.0
Lillebil,11,11,0,1.0
Bror-Erik,6,0,6,0.0
Halina,47,47,0,1.0
Feline,2,2,0,1.0
Mahmood,16,0,16,0.0
Marcos,1,0,1,0.0
Ingmarie,11,11,0,1.0
Aira,1,1,0,1.0
Nils-Olof,28,0,28,0.0
Regiana,1,1,0,1.0
Katalin,2,2,0,1.0
Arif,5,0,5,0.0
Sharam,2,0,2,0.0
Terje,21,0,21,0.0
Pepa,5,5,0,1.0
Frederik,4,0,4,0.0
Mohamud,2,0,2,0.0
Margit,77,77,0,1.0
Vicki,2,2,0,1.0
Ewy,19,19,0,1.0
Ruza,2,2,0,1.0
Gorges,3,0,3,0.0
Faruk,5,0,5,0.0
Carljohan,1,0,1,0.0
Ingemar,537,0,537,0.0
Evangelos,2,0,2,0.0
Wellington,5,0,5,0.0
Cerny,1,0,1,0.0
Bahman,2,0,2,0.0
Jaakko,7,0,7,0.0
Willi,28,0,28,0.0
Vinko,2,0,2,0.0
Jannike,4,4,0,1.0
Vesna,9,9,0,1.0
Dror,4,0,4,0.0
Wictor,1,0,1,0.0
Irena,4,4,0,1.0
Hanns,2,0,2,0.0
Anne-Chatrine,2,2,0,1.0
Frida,184,184,0,1.0
Firat,4,0,4,0.0
Kokab,2,2,0,1.0
Rolf,849,0,849,0.0
Hendrik,6,0,6,0.0
Emmali,6,6,0,1.0
Renée,22,22,0,1.0
Sonia,95,95,0,1.0
Rino,4,0,4,0.0
Majo,4,4,0,1.0
Simon,179,2,177,0.0111731843575419
Christa,5,5,0,1.0
Inga-Brita,1,1,0,1.0
Per-Elof,2,0,2,0.0
AnneLouise,1,1,0,1.0
Miralem,1,0,1,0.0
Valéria,8,8,0,1.0
Jim-Alex,5,0,5,0.0
Ramesh,2,0,2,0.0
Valter,34,0,34,0.0
Janica,4,4,0,1.0
Swen,5,0,5,0.0
Tova,10,10,0,1.0
Sigbert,2,0,2,0.0
Cristine,6,6,0,1.0
Ruzica,10,10,0,1.0
Elfrid,1,0,1,0.0
Pema,2,2,0,1.0
Viktor,211,0,211,0.0
Sabor,2,0,2,0.0
Erik-Widar,1,0,1,0.0
Sulo,1,0,1,0.0
Frederick,11,0,11,0.0
Siewert,4,0,4,0.0
John-Ingvar,1,0,1,0.0
Elof,18,0,18,0.0
Marietta,3,3,0,1.0
Hilbert,1,0,1,0.0
Abdulla,3,0,3,0.0
Zekrulla,2,0,2,0.0
Waileth,1,1,0,1.0
Eva-Lill,2,2,0,1.0
Kaan,38,0,38,0.0
Land,1,1,0,1.0
Karl-Yngve,1,0,1,0.0
Majri,1,1,0,1.0
Åse-Britt,1,1,0,1.0
Janine,7,7,0,1.0
Eero,3,0,3,0.0
Liliane,7,7,0,1.0
Elo,3,0,3,0.0
Böril,1,0,1,0.0
Boris,60,0,60,0.0
Ulrich,9,0,9,0.0
Antonious,2,0,2,0.0
Bahrija,1,1,0,1.0
Linde,2,0,2,0.0
Sabah,7,0,7,0.0
Ann-Carolin,1,1,0,1.0
Florentino,2,0,2,0.0
Emöke,7,7,0,1.0
Sami,6,0,6,0.0
Nicke,27,0,27,0.0
Shlomo,10,0,10,0.0
Erich,2,0,2,0.0
Bertil,703,0,703,0.0
Ella-Britt,4,4,0,1.0
Jörg,1,0,1,0.0
ChrisTina,7,7,0,1.0
Anna-Belle,2,2,0,1.0
Desiré,8,8,0,1.0
Ben,5,0,5,0.0
